OBJECTID,GRID,SHAPE_Leng,SHAPE_Area,mortality_score,community_score,egress_score,population_score,utility_score,priority_score,priority_class,priority_rank
31,154,2536.96848994,398803.866009,0.0,6.206695298660384,4.768508600722884,4.592240696753761,4.38308094917078,3.632519744239815,Low,18
32,155,2536.95943751,398800.995283,0.0,4.924336250515808,4.475478148992275,4.592240696753761,0.8201952304742482,2.8970353199878964,Low,26
33,156,2536.94963066,398797.730061,0.0,3.9052217829420965,7.266782425812599,3.341250989707047,7.041768370040618,3.635026416358163,Low,17
34,157,2536.96094623,398801.665999,0.0,8.513184121994612,9.860830074654041,9.382422802850357,3.6196046891967453,5.869785934776689,Medium,2
35,158,2536.96396374,398802.578535,0.0,6.238849728542499,6.988414093829443,5.771971496437055,9.789873664964517,4.802178341863523,Medium,6
36,159,2536.96798705,398803.691733,0.0,3.838986686729969,4.470738729416501,5.771971496437055,7.1318597670775965,3.4328761187391104,Low,20
37,164,2536.94133259,398796.052459,0.0,5.954281563460514,8.010602141654402,1.2509897070467142,7.130230449883584,3.991362320241375,Low,13
38,165,2536.94334426,398796.601666,0.0,4.572399384219249,7.097786643138847,0.9817893903404593,2.7599091445158015,2.985916497685231,Low,24
39,166,2536.93202866,398792.532684,0.0,2.0529820901899876,6.730483408189882,0.0,0.5683624423659179,1.916178448422065,Very Low,47
40,167,2536.94158406,398795.991713,0.0,4.528677810275826,9.424441291357805,9.382422802850357,1.7937901132725629,4.603800142595327,Medium,7
41,168,2536.94208697,398796.284288,0.0,7.004556412339595,7.740767068531386,5.771971496437055,7.5382630332294145,4.9189145445796765,Medium,5
42,169,2536.93781219,398794.788209,0.0,4.508660141043443,4.921458492902029,5.771971496437055,9.259148992600988,3.9031673575669235,Low,14
43,174,2539.03572009,399398.755101,0.0,0.0,8.724735361043352,1.2509897070467142,1.0206908180447258,2.03466461007015,Low,42
44,175,2538.96229463,399377.719068,0.0,0.0,9.60938808911828,0.0,0.49787068367863946,1.9716646861915201,Very Low,45
